NCT	Phase	Conditions	Drugs	BriefTitle	OfficialTrial	Oncotree Codes
NCT01614197	1	Lymphoblastic Leukemia, Acute, Childhood|Lymphoblastic Lymphoma|Peripheral T-cell Lymphoma	Temsirolimus|Etoposide|Etoposide|Cyclophosphamide|Methotrexate|Hydrocortisone|Cytarabine	A Trial of Temsirolimus With Etoposide and Cyclophosphamide in Children With Relapsed Acute Lymphoblastic Leukemia and Non-Hodgkins Lymphoma	A Phase I Trial of Temsirolimus (CCI-779, Pfizer, Inc.) in Combination With Etoposide and Cyclophosphamide in Children With Relapsed Acute Lymphoblastic Leukemia and Non-Hodgkins Lymphoma	MTNN|MLYM|LYMPH|NPTLTFH|PTCL
NCT01659658	3	Relapsed or Refractory Systemic Light Chain Amyloidosis	IXAZOMIB|Dexamethasone|Melphalan|Cyclophosphamide|Thalidomide|Lenalidomide	Study of Dexamethasone Plus IXAZOMIB (MLN9708) or Physicians Choice of Treatment in Relapsed or Refractory Systemic Light Chain (AL) Amyloidosis	A Phase 3, Randomized, Controlled, Open-label, Multicenter, Safety and Efficacy Study of Dexamethasone Plus MLN9708 or Physicians Choice of Treatment Administered to Patients With Relapsed or Refractory Systemic Light Chain (AL) Amyloidosis	MIDDA
NCT01674140	3	Breast Cancer	anastrozole|everolimus|exemestane|goserelin acetate|letrozole|leuprolide acetate|tamoxifen citrate	S1207 Hormone Therapy With or Without Everolimus in Treating Patients With Breast Cancer	Phase III Randomized, Placebo-Controlled Clinical Trial Evaluating the Use of Adjuvant Endocrine Therapy +/- One Year of Everolimus in Patients With High-Risk, Hormone Receptor-Positive and HER2/Neu Negative Breast Cancer	MMBC|IMMC|MT|EMBC|IBC|MBC|BREAST|ACBC|BRCA
NCT01744223	1/Phase 2	Acute Lymphoblastic Leukemia|Acute Myelogenous Leukemia|Lymphoma		Safety Study of Gene Modified Donor T-cells Following Partially Mismatched Stem Cell Transplant	A Phase 1/2 Dose Escalation Study Evaluating Safety and Feasibility of BPX-501 T Cells After Partially Mismatched, Related, T Cell-Depleted HSCT (Hematopoietic Stem Cell Transplant)	MLYM|LYMPH|AML
NCT01803282	1	Tumors|Pancreatic Cancer|Non-small Cell Lung Cancer|Esophagogastric Cancer|Colorectal Cancer|Breast Cancer	Andecaliximab|Gemcitabine|Nab-paclitaxel|Carboplatin|Pemetrexed|Leucovorin|Oxaliplatin|5-FU|Bevacizumab|Irinotecan|Paclitaxel	Safety and Tolerability Study in Solid Tumors	A Phase 1 Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of GS-5745 as Monotherapy and in Combination With Chemotherapy in Subjects With Advanced Solid Tumors	GINET|STOMACH|PANET|IMMC|MBC|LUNG|BREAST|NSCLC|MMBC|EMBC|IBC|PCNSMT|MT|SCLC|DCS|PRNET|GINETES|SWDNET|NSCLCPD|ES|EPIS|ACBC|BRCA
NCT01818986	2	Metastatic Castrate-resistant Prostate Cancer|mCRPC	Sipuleucel-T	Sipuleucel-T and Stereotactic Ablative Body Radiation (SABR) for Metastatic Castrate-resistant Prostate Cancer (mCRPC)	Phase II Trial of Sipuleucel-T and Stereotactic Ablative Body Radiation (SABR) for Patients With Metastatic Castrate-resistant Prostate Cancer (mCRPC)	PROSTATE|MT|ES|EPIS
NCT01878617	2	Medulloblastoma	Cyclophosphamide|Cisplatin|Vincristine|Vismodegib|Pemetrexed|Gemcitabine	A Clinical and Molecular Risk-Directed Therapy for Newly Diagnosed Medulloblastoma	A Clinical and Molecular Risk-Directed Therapy for Newly Diagnosed Medulloblastoma	MBL
NCT01926197	3	Pancreatic Cancer	Oxaliplatin|Irinotecan|Leucovorin|5FU	Phase III FOLFIRINOX (mFFX) +/- SBRT in Locally Advanced Pancreatic Cancer	A Randomized Phase III Study Evaluating Modified FOLFIRINOX (mFFX) With or Without Stereotactic Body Radiotherapy (SBRT) in the Treatment of Locally Advanced Pancreatic Cancer	MT
NCT01953588	3	Estrogen Receptor-positive Breast Cancer|HER2-negative Breast Cancer|Invasive Ductal Breast Carcinoma|Invasive Lobular Breast Carcinoma|Recurrent Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer	fulvestrant|anastrozole	Fulvestrant and/or Anastrozole in Treating Postmenopausal Patients With Stage II-III Breast Cancer Undergoing Surgery	Alternate Approaches for Clinical Stage II or III Estrogen Receptor Positive Breast Cancer Neoadjuvant Treatment (ALTERNATE) in Postmenopausal Women: A Phase III Study	ILC|BREAST|MT|IDC|ES|EPIS
NCT01956669	2	Solid Tumours	Pazopanib GW786034	Pazopanib Paediatric Phase II Trial Children's Oncology Group (COG) in Solid Tumors	A Phase II Study of Pazopanib GW786034, NSC# 737754 in Children, Adolescents and Young Adults With Refractory Solid Tumors	
NCT01962896	2	Relapsed / Recurrent Germ Cell Tumors	Erlotinib|Sirolimus	A Phase II Study of Sirolimus and Erlotinib in Recurrent/Refractory Germ Cell Tumors	A Phase II Study of Sirolimus and Erlotinib in Recurrent/Refractory Germ Cell Tumors	
NCT01979536	2	Anaplastic Large Cell Lymphoma, ALK-Positive|Ann Arbor Stage II Noncutaneous Childhood Anaplastic Large Cell Lymphoma|Ann Arbor Stage III Noncutaneous Childhood Anaplastic Large Cell Lymphoma|Ann Arbor Stage IV Noncutaneous Childhood Anaplastic Large Cell Lymphoma|CD30-Positive Neoplastic Cells Present	Brentuximab Vedotin|Crizotinib|Cyclophosphamide|Cytarabine|Dexamethasone|Doxorubicin Hydrochloride|Etoposide|Ifosfamide|Methotrexate	Brentuximab Vedotin or Crizotinib and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage II-IV Anaplastic Large Cell Lymphoma	A Randomized Phase 2 Trial of Brentuximab Vedotin (SGN35, NSC# 749710), or Crizotinib (NSC#749005, Commercially Labeled) in Combination With Chemotherapy for Newly Diagnosed Patients With Anaplastic Large Cell Lymphoma (ALCL)	LYMPH|MLYM|ALCL|RBL|ES|EPIS
NCT02003222	3	Acute Lymphoblastic Leukemia|B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative|BCR/ABL1 Fusion Protein Negative|Untreated Adult Acute Lymphoblastic Leukemia	Cyclophosphamide|Cytarabine|Daunorubicin Hydrochloride|Dexamethasone|Etoposide|Mercaptopurine|Methotrexate|Pegaspargase|Prednisone|Vincristine Sulfate	Combination Chemotherapy With or Without Blinatumomab in Treating Patients With Newly Diagnosed BCR-ABL-Negative B Lineage Acute Lymphoblastic Leukemia	A Phase III Randomized Trial of Blinatumomab for Newly Diagnosed BCR-ABL-Negative B Lineage Acute Lymphoblastic Leukemia in Adults	LYMPH
NCT02013336	1	Recurrent or Refractory Solid Tumors|Ewing Sarcoma|Rhabdomyosarcoma|Neuroblastoma|Osteosarcoma	MM-398 (Irinotecan Sucrosofate Liposome Injection) plus cyclophosphamide	Phase 1 Study of MM-398 Plus Cyclophosphamide in Pediatric Solid Tumors	Phase 1 Dose-escalating Study of MM-398 (Irinotecan Sucrosofate Liposome Injection) Plus Intravenous Cyclophosphamide in Recurrent or Refractory Pediatric Solid Tumors	OS|RMS|NBL|ES
NCT02043665	1	Non-small Cell Lung Cancer|Bladder Cancer		CVA21 and Pembrolizumab in NSCLC & Bladder Cancer (VLA-009 STORM/ KEYNOTE-200)	A Phase 1, Dose-finding and Signal-seeking Study of the Safety & Efficacy of Intravenous CAVATAK® Alone and in Combination With Pembrolizumab in Patients With Late Stage Solid Tumours (VLA-009 STORM / KEYNOTE-200)	LUNG|GBC|BLADDER|NSCLC|MT|SCBC|SCLC|NSCLCPD
NCT02064673	3	Prostate Cancer	Curcumin|placebo	Adjuvant Curcumin to Assess Recurrence Free Survival in Patients Who Have Had a Radical Prostatectomy	Randomized Trial of Adjuvant Curcumin After Prostatectomy	PROSTATE|MT
NCT02065869	1/Phase 2	Acute Lymphoblastic Leukemia|Leukemia, Acute Myeloid (AML), Child|Lymphoma, Non-Hodgkin|Myelodysplastic Syndrome|Immunologic Deficiency Syndromes	AP1903	Safety Study of Gene Modified Donor T-cells Following TCR Alpha Beta Depleted Stem Cell Transplant	Phase II Extension Study of CaspaCIDe T Cells (BPX-501) From an HLA-partially Matched Family Donor After Negative Selection of TCR Î±Î²+T Cells in Pediatric Patients Affected by Hematological Disorders	LYMPH|MDS|MLYM|MYELOID|AML|ES|EPIS
NCT02092324	2	Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Chronic Neutrophilic Leukemia	Ruxolitinib Phosphate	Ruxolitinib Phosphate in Treating Patients With Chronic Neutrophilic Leukemia or Atypical Chronic Myeloid Leukemia	Prospective Evaluation of Ruxolitinib Efficacy for CNL/aCML Patients With Mutation of CSF3R	CNL|CML|MYELOID|MT
NCT02098343	1/Phase 2	Platinum Sensitive Recurrent High-grade Serous Ovarian Cancer With Mutated p53	APR-246|Carboplatin and Pegylated Liposomal Doxorubicin Hydrochloride (PLD)	p53 Suppressor Activation in Recurrent High Grade Serous Ovarian Cancer, a Phase Ib/II Study of Systemic Carboplatin Combination Chemotherapy With or Without APR-246	PiSARRO: p53 Suppressor Activation in Recurrent High Grade Serous Ovarian Cancer, a Phase Ib/II Study of Systemic Carboplatin Combination Chemotherapy With or Without APR-246	HGSOC|MT|SOC|HTAT
NCT02101853	3	B Acute Lymphoblastic Leukemia	Asparaginase|Cyclophosphamide|Cytarabine|Dexamethasone|Etoposide|Leucovorin Calcium|Mercaptopurine|Methotrexate|Mitoxantrone Hydrochloride|Pegaspargase|Therapeutic Hydrocortisone|Thioguanine|Vincristine Sulfate	Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia	Risk-Stratified Randomized Phase III Testing of Blinatumomab (NSC#765986) in First Relapse of Childhood B-Lymphoblastic Leukemia (B-ALL)	LYMPH
NCT02112916	3	Adult T Acute Lymphoblastic Leukemia|Ann Arbor Stage II Adult Lymphoblastic Lymphoma|Ann Arbor Stage II Childhood Lymphoblastic Lymphoma|Ann Arbor Stage III Adult Lymphoblastic Lymphoma|Ann Arbor Stage III Childhood Lymphoblastic Lymphoma|Ann Arbor Stage IV Adult Lymphoblastic Lymphoma|Ann Arbor Stage IV Childhood Lymphoblastic Lymphoma|Childhood T Acute Lymphoblastic Leukemia|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Childhood Acute Lymphoblastic Leukemia	Bortezomib|Cyclophosphamide|Cytarabine|Daunorubicin Hydrochloride|Dexamethasone|Doxorubicin Hydrochloride|Etoposide|Hydrocortisone Sodium Succinate|Ifosfamide|Leucovorin Calcium|Mercaptopurine|Methotrexate|Pegaspargase|Thioguanine|Vincristine Sulfate	Combination Chemotherapy With or Without Bortezomib in Treating Younger Patients With Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia or Stage II-IV T-Cell Lymphoblastic Lymphoma	A Phase III Randomized Trial Investigating Bortezomib (NSC# 681239) on a Modified Augmented BFM (ABFM) Backbone in Newly Diagnosed T-Lymphoblastic Leukemia (T-ALL) and T-Lymphoblastic Lymphoma (T-LLy)	LYMPH|MLYM|RBL
NCT02115282	3	Estrogen Receptor Positive|HER2/Neu Negative|Male Breast Carcinoma|Progesterone Receptor Positive|Recurrent Breast Carcinoma|Stage IIIB Breast Cancer AJCC v7|Stage IIIC Breast Cancer AJCC v7|Stage IV Breast Cancer AJCC v6 and v7	Entinostat|Exemestane|Goserelin Acetate	Exemestane With or Without Entinostat in Treating Patients With Recurrent Hormone Receptor-Positive Breast Cancer That is Locally Advanced or Metastatic	A Randomized Phase III Trial of Endocrine Therapy Plus Entinostat/Placebo in Patients With Hormone Receptor-Positive Advanced Breast Cancer	CHOL|BREAST|MT|ES|EPIS
NCT02135042	2/Phase 3	Epstein-Barr Virus Infection|Stage II Nasopharyngeal Carcinoma|Stage III Nasopharyngeal Carcinoma|Stage IVA Nasopharyngeal Carcinoma|Stage IVB Nasopharyngeal Carcinoma	Cisplatin|Fluorouracil|Gemcitabine Hydrochloride|Paclitaxel	Individualized Treatment in Treating Patients With Stage II-IVB Nasopharyngeal Cancer Based on EBV DNA	Randomized Phase II and Phase III Studies of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker Epstein Barr Virus (EBV) Deoxyribonucleic Acid (DNA)	NPC|MT
NCT02152982	2/Phase 3	Glioblastoma|Gliosarcoma	Temozolomide|Veliparib	Temozolomide With or Without Veliparib in Treating Patients With Newly Diagnosed Glioblastoma Multiforme	A Phase II/III Randomized Trial of Veliparib or Placebo in Combination With Adjuvant Temozolomide in Newly Diagnosed Glioblastoma With MGMT Promoter Hypermethylation	GB|GSARC
NCT02154490	2/Phase 3	Recurrent Squamous Cell Lung Carcinoma|Stage IV Squamous Cell Lung Carcinoma AJCC v7	Docetaxel|Erlotinib Hydrochloride|FGFR Inhibitor AZD4547|Palbociclib|Talazoparib|Taselisib	Lung-MAP: Biomarker-Targeted Second-Line Therapy in Treating Patients With Recurrent Stage IV Squamous Cell Lung Cancer	A Biomarker-Driven Master Protocol for Previously Treated Squamous Cell Lung Cancer (Lung-Map)	CHOL|LUNG|LUSC|MT
NCT02155920	2	Recurrent Childhood Ependymoma	Everolimus	Everolimus for Children With Recurrent or Progressive Ependymoma	Phase II Study of Everolimus (RAD001, Afinitor®) for Children With Recurrent or Progressive Ependymoma	EPM
NCT02163356	1	Recurrent Neuroblastoma|Neuroblastoma	Fenretinide/LXS Oral Powder|Ketoconazole|Vincristine	Fenretinide Lym-X-Sorb + Ketoconazole + Vincristine for Recurrent or Resistant Neuroblastoma	Phase I Study of Fenretinide (4-HPR, NSC 374551) Lym-X-Sorb (LXS) Oral Powder Plus Ketoconazole Plus Vincristine in Patients With Recurrent or Resistant Neuroblastoma (IND #68,254)	NBL
NCT02166463	3	Ann Arbor Stage IIB Hodgkin Lymphoma|Ann Arbor Stage IIIB Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IVA Hodgkin Lymphoma|Ann Arbor Stage IVB Hodgkin Lymphoma|Childhood Hodgkin Lymphoma|Classic Hodgkin Lymphoma	Brentuximab Vedotin|Cyclophosphamide|Doxorubicin Hydrochloride|Etoposide|Prednisone|Vincristine Sulfate	Brentuximab Vedotin and Combination Chemotherapy in Treating Children and Young Adults With Stage IIB or Stage IIIB-IVB Hodgkin Lymphoma	A Randomized Phase 3 Study of Brentuximab Vedotin (SGN-35) for Newly Diagnosed High-Risk Classical Hodgkin Lymphoma (cHL) in Children and Young Adults	LYMPH|HL|MLYM|RBL|CHL
NCT02176967	3	Ganglioneuroblastoma|Localized Resectable Neuroblastoma|Localized Unresectable Neuroblastoma|Regional Neuroblastoma|Stage 4 Neuroblastoma	Carboplatin|Cyclophosphamide|Doxorubicin Hydrochloride|Etoposide	Response and Biology-Based Risk Factor-Guided Therapy in Treating Younger Patients With Non-high Risk Neuroblastoma	Utilizing Response- and Biology-Based Risk Factors to Guide Therapy in Patients With Non-High-Risk Neuroblastoma	GNBL|MT|NBL|ES|EPIS
NCT02178722	1/Phase 2	Colorectal Cancer (CRC)|Endometrial Cancer|Head and Neck Cancer|Hepatocellular Carcinoma (HCC)|Gastric Cancer|Lung Cancer|Lymphoma|Renal Cell Carcinoma (RCC)|Ovarian Cancer|Solid Tumors|UC (Urothelial Cancer)|Breast Cancer|Melanoma	MK-3475|INCB024360	A Phase 1/2 Study Exploring the Safety, Tolerability, and Efficacy of Pembrolizumab (MK-3475) in Combination With Epacadostat (INCB024360) in Subjects With Selected Cancers (INCB 24360-202 / MK-3475-037 / KEYNOTE-037/ ECHO-202)	A Phase 1/2 Study Exploring the Safety, Tolerability, and Efficacy of Pembrolizumab (MK-3475) in Combination With Epacadostat (INCB024360) in Subjects With Selected Cancers (KEYNOTE-037/ ECHO-202)	CCOV|HCC|CHOL|LUNG|LUSC|EOV|OOVC|NSCLC|EMBC|MT|LGSOC|RCC|LUAS|SCLC|SOC|MEL|NSCLCPD|STOMACH|HGSOC|IMMC|MBC|BREAST|HEAD_NECK|MOV|CSCLC|MLYM|MMBC|IBC|UCEC|LCLC|BRCA|ACBC
NCT02180867	2/Phase 3	Adult Fibrosarcoma|Alveolar Soft Part Sarcoma|Angiomatoid Fibrous Histiocytoma|Atypical Fibroxanthoma|Clear Cell Sarcoma of Soft Tissue|Epithelioid Malignant Peripheral Nerve Sheath Tumor|Epithelioid Sarcoma|Extraskeletal Myxoid Chondrosarcoma|Extraskeletal Osteosarcoma|Fibrohistiocytic Neoplasm|Glomus Tumor of the Skin|Inflammatory Myofibroblastic Tumor|Intimal Sarcoma|Leiomyosarcoma|Liposarcoma|Low Grade Fibromyxoid Sarcoma|Low Grade Myofibroblastic Sarcoma|Malignant Cutaneous Granular Cell Tumor|Malignant Peripheral Nerve Sheath Tumor|Malignant Triton Tumor|Mesenchymal Chondrosarcoma|Myxofibrosarcoma|Myxoid Chondrosarcoma|Myxoinflammatory Fibroblastic Sarcoma|Nerve Sheath Neoplasm|PEComa|Pericytic Neoplasm|Plexiform Fibrohistiocytic Tumor|Sclerosing Epithelioid Fibrosarcoma|Stage IB Soft Tissue Sarcoma AJCC v7|Stage IIB Soft Tissue Sarcoma AJCC v7|Stage III Soft Tissue Sarcoma AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Synovial Sarcoma|Undifferentiated (Embryonal) Sarcoma|Undifferentiated High Grade Pleomorphic Sarcoma of Bone	Doxorubicin Hydrochloride|Ifosfamide|Pazopanib Hydrochloride	Radiation Therapy With or Without Combination Chemotherapy or Pazopanib Hydrochloride Before Surgery in Treating Patients With Newly Diagnosed Non-rhabdomyosarcoma Soft Tissue Sarcomas That Can Be Removed by Surgery	Pazopanib Neoadjuvant Trial in Non-Rhabdomyosarcoma Soft Tissue Sarcomas (PAZNTIS): A Phase II/III Randomized Trial of Preoperative Chemoradiation or Preoperative Radiation Plus or Minus Pazopanib (NSC# 737754)	SKIN|EMCHS|UESL|CHOL|LGFMS|MPNST|ASPS|NST|OS|MCHS|INTS|PECOMA|MYCHS|CCS|SEF|LMS|IMT|MCHSCNS|ES|TISSUE|EPIS|BONE|AFX|CHS|FIBS|SOFT_TISSUE|AFH|LIPO|GCT|SYNS|MFS
NCT02193282	3	ALK Gene Rearrangement|EGFR Exon 19 Deletion Mutation|EGFR NP_005219.2:p.L858R|Stage IB Non-Small Cell Lung Carcinoma AJCC v7|Stage II Non-Small Cell Lung Cancer AJCC v7|Stage IIA Non-Small Cell Lung Carcinoma AJCC v7|Stage IIB Non-Small Cell Lung Carcinoma AJCC v7|Stage IIIA Non-Small Cell Lung Cancer AJCC v7	Erlotinib Hydrochloride	Erlotinib Hydrochloride in Treating Patients With Stage IB-IIIA Non-small Cell Lung Cancer That Has Been Completely Removed by Surgery (An ALCHEMIST Treatment Trial)	Randomized Study of Erlotinib vs Observation in Patients With Completely Resected Epidermal Growth Factor Receptor (EGFR) Mutant Non-small Cell Lung Cancer (NSCLC)	CHOL|LUNG|NSCLC|MT|SCLC
NCT02194738	3	Large Cell Lung Carcinoma|Lung Adenocarcinoma|Stage IB Non-Small Cell Lung Carcinoma AJCC v7|Stage IB Squamous Cell Lung Carcinoma AJCC v7|Stage II Non-Small Cell Lung Cancer AJCC v7|Stage II Squamous Cell Lung Carcinoma AJCC v7|Stage IIA Non-Small Cell Lung Carcinoma AJCC v7|Stage IIA Squamous Cell Lung Carcinoma AJCC v7|Stage IIB Non-Small Cell Lung Carcinoma AJCC v7|Stage IIB Squamous Cell Lung Carcinoma AJCC v7|Stage IIIA Non-Small Cell Lung Cancer AJCC v7|Stage IIIA Squamous Cell Lung Carcinoma AJCC v7	Crizotinib|Erlotinib Hydrochloride	Genetic Testing in Screening Patients With Stage IB-IIIA Non-Small Cell Lung Cancer That Has Been or Will Be Removed by Surgery (The ALCHEMIST Screening Trial)	Adjuvant Lung Cancer Enrichment Marker Identification and Sequencing Trial (ALCHEMIST)	CHOL|LUSC|LUNG|NSCLC|MT|SCLC|LUAD|LCLC
NCT02201992	3	ALK Gene Rearrangement|ALK Gene Translocation|ALK Positive|Stage IB Non-Small Cell Lung Carcinoma AJCC v7|Stage II Non-Small Cell Lung Cancer AJCC v7|Stage IIA Non-Small Cell Lung Carcinoma AJCC v7|Stage IIB Non-Small Cell Lung Carcinoma AJCC v7|Stage IIIA Non-Small Cell Lung Cancer AJCC v7	Crizotinib	Crizotinib in Treating Patients With Stage IB-IIIA Non-small Cell Lung Cancer That Has Been Removed by Surgery and ALK Fusion Mutations (An ALCHEMIST Treatment Trial)	A Randomized Phase III Trial for Surgically Resected Early Stage Non-small Cell Lung Cancer: Crizotinib Versus Observation for Patients With Tumors Harboring the Anaplastic Lymphoma Kinase (ALK) Fusion Protein	CHOL|LUNG|NSCLC|ALKLBCL|MT|SCLC|ALCLALKP
