,Oncotree,Term
93,HNSC,Head and Neck Squamous Cell Carcinoma
94,HNSC,SCCHN
95,HNSC,Squamous Cell Carcinoma of Head and Neck
96,HNSC,Squamous Cell Carcinoma of the Head and Neck
97,BLAD,Adenocarcinoma of Bladder
98,BLAD,Adenocarcinoma of the Bladder
99,BLAD,Adenocarcinoma of the Urinary Bladder
100,BLAD,Adenocarcinoma of Urinary Bladder
101,BLAD,Bladder Adenocarcinoma
102,BLAD,Urinary Bladder Adenocarcinoma
103,MCHS,Mesenchymal Chondrosarcoma of Bone
104,MCHS,Mesenchymal Chondrosarcoma of the Bone
105,BLSC,Bladder Epidermoid Carcinoma
106,BLSC,Bladder Squamous Cell Carcinoma
107,BLSC,Epidermoid Carcinoma of Bladder
108,BLSC,Epidermoid Carcinoma of the Bladder
109,BLSC,Epidermoid Carcinoma of the Urinary Bladder
110,BLSC,Epidermoid Carcinoma of Urinary Bladder
111,BLSC,Squamous Cell Carcinoma of Bladder
112,BLSC,Squamous Cell Carcinoma of the Bladder
113,BLSC,Squamous Cell Carcinoma of the Urinary Bladder
114,BLSC,Squamous Cell Carcinoma of Urinary Bladder
115,BLSC,Urinary Bladder Epidermoid Carcinoma
116,BLSC,Urinary Bladder Squamous Cell Carcinoma
117,ANM,Anaplastic (Malignant) Meningioma
118,ANM,Anaplastic Meningioma
119,ANM,Malignant Meningioma
120,ANM,"Meningioma, Malignant"
121,MACR,Colorectal Mucinous Adenocarcinoma
122,LIHB,HBL
123,LIHB,Hepatoblastoma
124,LIHB,Pediatric Embryonal Hepatoma
125,LIHB,Pediatric Hepatoblastoma
126,IMTL,Lung Inflammatory Myofibroblastic Tumor
127,USARC,Body of Uterus Sarcoma
128,USARC,Corpus Uteri Sarcoma
129,USARC,Sarcoma of Body of Uterus
130,USARC,Sarcoma of Corpus Uteri
131,USARC,Sarcoma of the Body of Uterus
132,USARC,Sarcoma of the Corpus Uteri
133,USARC,Sarcoma of the Uterine Body
134,USARC,Sarcoma of the Uterine Corpus
135,USARC,Sarcoma of the Uterus
136,USARC,Sarcoma of Uterine Body
137,USARC,Sarcoma of Uterine Corpus
138,USARC,Sarcoma of Uterus
139,USARC,Uterine Body Sarcoma
140,USARC,Uterine Corpus Sarcoma
141,USARC,Uterine Sarcoma
142,USARC,Uterus Sarcoma
143,ODGC,Malignant Odontogenic Neoplasm
144,ODGC,Malignant Odontogenic Tumor
145,ODGC,Odontogenic Carcinoma
146,ODGC,Odontogenic Carcinosarcoma
147,STOMACH,Gastric
148,STOMACH,"Gastrointestinal Tract, Stomach"
149,STOMACH,Stomach
150,SKCN,Congenital Melanocytic Nevus of Skin
151,SKCN,Congenital Melanocytic Nevus of the Skin
152,SKCN,Congenital Melanocytic Nevus
153,SKCN,Congenital Nevus of Skin
154,SKCN,Congenital Nevus of the Skin
155,SKCN,Congenital Pigmented Nevus of Skin
156,SKCN,Congenital Pigmented Nevus of the Skin
157,SKCN,Congenital Pigmented Skin Nevus
158,SKCN,Congenital Skin Nevus
159,VPSCC,"Squamous Carcinoma of Penis, Verrucous Type"
160,VPSCC,"Squamous Carcinoma of the Penis, Verrucous Type"
161,VPSCC,Verrucous Carcinoma of Penis
162,VPSCC,Verrucous Carcinoma of the Penis
163,VPSCC,Verrucous Penile Carcinoma
164,VPSCC,Verrucous Penile Squamous Carcinoma
165,VPSCC,Verrucous Squamous Carcinoma of Penis
166,VPSCC,Verrucous Squamous Carcinoma of the Penis
167,PERITONEUM,Peritoneum
168,OCS,Carcinosarcoma of Ovary
169,OCS,Carcinosarcoma of the Ovary
170,OCS,Malignant Mixed Mesodermal Mullerian Neoplasm of Ovary
171,OCS,Malignant Mixed Mesodermal Mullerian Neoplasm of the Ovary
172,OCS,Malignant Mixed Mesodermal Mullerian Tumor of Ovary
173,OCS,Malignant Mixed Mesodermal Mullerian Tumor of the Ovary
174,OCS,Malignant Mixed Mesodermal Müllerian Neoplasm of Ovary
175,OCS,Malignant Mixed Mesodermal Müllerian Neoplasm of the Ovary
176,OCS,Malignant Mixed Mesodermal Müllerian Tumor of Ovary
177,OCS,Malignant Mixed Mesodermal Müllerian Tumor of the Ovary
178,OCS,Ovarian Carcinosarcoma
179,OCS,Ovarian Malignant Mesodermal (Mullerian) Mixed Tumor
180,OCS,Ovarian Malignant Mesodermal (Müllerian) Mixed Tumor
181,OCS,Ovarian Malignant Mixed Mesodermal (Mullerian) Tumor
182,OCS,Ovarian Malignant Mixed Mesodermal (Müllerian) Tumor
183,OCS,Ovarian Malignant Mixed Mesodermal Mullerian Neoplasm
184,OCS,Ovarian Malignant Mixed Mesodermal Mullerian Tumor
185,OCS,Ovarian Malignant Mixed Mesodermal Müllerian Neoplasm
186,OCS,Ovarian Malignant Mixed Mesodermal Müllerian Tumor
187,OCS,Ovarian Malignant Mixed Mullerian Neoplasm
188,OCS,Ovarian Malignant Mixed Mullerian Tumor
189,OCS,Ovarian Malignant Mixed Müllerian Neoplasm
190,OCS,Ovarian Malignant Mixed Müllerian Tumor
191,OCS,Ovarian MMMT
192,IMT,Inflammatory Fibrosarcoma
193,IMT,Inflammatory Myofibroblastic Neoplasm
194,IMT,Inflammatory Myofibroblastic Tumor
195,IMT,Inflammatory Pseudotumor
196,LDD,Dysplastic Cerebellar Gangliocytoma
197,LDD,Dysplastic Gangliocytoma of Cerebellum
198,LDD,Dysplastic Gangliocytoma of the Cerebellum
199,LDD,Lhermitte-Duclos Disease
200,CNC,Central Neurocytoma (WHO Grade II)
201,CNC,Central Neurocytoma
202,OGBL,Ovarian Gonadoblastoma
203,UUS,Undifferentiated Uterine Sarcoma
204,UUS,Uterine Corpus Undifferentiated Endometrial Sarcoma
205,UUS,Uterine Corpus Undifferentiated Sarcoma
206,HMBL,Angioblastoma
207,HMBL,Capillary Hemangioblastoma
208,HMBL,Hemangioblastoma
209,STSC,Gastric Oat Cell Carcinoma
210,STSC,Gastric Small Cell Carcinoma
211,STSC,Gastric Small Cell Neuroendocrine Carcinoma
212,STSC,Oat Cell Carcinoma of Stomach
213,STSC,Oat Cell Carcinoma of the Stomach
214,STSC,Small Cell Carcinoma of Stomach
215,STSC,Small Cell Carcinoma of the Stomach
216,SCOS,Small Cell Osteogenic Sarcoma
217,SCOS,Small Cell Osteosarcoma
218,UAD,Adenocarcinoma of the Urethra
219,UAD,Adenocarcinoma of Urethra
220,UAD,Urethra Adenocarcinoma
221,UAD,Urethral Adenocarcinoma
222,PAST,Grade I Astrocytic Neoplasm
223,PAST,Grade I Astrocytic Tumor
224,PAST,Grade I Astrocytoma
225,PAST,Pilocytic Astrocytoma
226,PCNSL,Central Nervous System Lymphoma
227,PCNSL,CNS Lymphoma
228,PCNSL,Malignant Lymphomas of CNS
229,PCNSL,Malignant Lymphomas of the CNS
230,PCNSL,Primary Central Nervous System Lymphoma
231,PCNSL,Primary CNS Lymphoma
232,TRCC,Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions
233,TRCC,TFE3-Rearranged Renal Cell Carcinoma
234,TRCC,tRCC
235,TRCC,Xp11.2 Translocation-Related Renal Cell Carcinoma
236,MYEC,Salivary Gland Myoepithelial Carcinoma
237,LMS,Leiomyosarcoma
238,LIAS,Angiosarcoma of Liver
239,LIAS,Angiosarcoma of the Liver
240,LIAS,Hemangiosarcoma of Liver
241,LIAS,Hemangiosarcoma of the Liver
242,LIAS,Hepatic Angiosarcoma
243,LIAS,Hepatic Hemangiosarcoma
244,LIAS,Liver Angiosarcoma
245,LIAS,Liver Hemangiosarcoma
246,LIAS,Primary Angiosarcoma of Liver
247,LIAS,Primary Angiosarcoma of the Liver
248,MEL,Malignant Melanoma
249,MEL,Melanoma
250,RHM,Rhabdoid Meningioma
251,CDRCC,Bellini Duct Carcinoma
252,CDRCC,Carcinoma of Collecting Ducts of Bellini
253,CDRCC,Carcinoma of Kidney Collecting Duct
254,CDRCC,Carcinoma of Renal Collecting Duct
255,CDRCC,Carcinoma of the Collecting Ducts of Bellini
256,CDRCC,Carcinoma of the Kidney Collecting Duct
257,CDRCC,Carcinoma of the Renal Collecting Duct
258,CDRCC,Collecting Duct Carcinoma
259,CDRCC,Collecting Duct Renal Cell Carcinoma
260,CDRCC,Kidney Collecting Duct Carcinoma
261,CDRCC,Renal Collecting Duct Carcinoma
262,MNG,Meningioma
263,EPM,Ependymoma
264,EPM,WHO Grade II Ependymal Neoplasm
265,EPM,WHO Grade II Ependymal Tumor
266,SPCC,Lung Spindle Cell Carcinoma
267,MTNN,Non-Hodgkin's T-Cell Lymphoma
268,MTNN,T Cell Lymphoma
269,MTNN,T-Cell and NK-Cell Non-Hodgkin Lymphoma
270,MTNN,T-Cell and NK-Cell Non-Hodgkin's Lymphoma
271,MTNN,T-Cell Lymphoma
272,MTNN,T-Cell Non-Hodgkin Lymphoma
273,MTNN,T-Cell Non-Hodgkin's Lymphoma
274,MNGT,Meningeal Neoplasms
275,MNGT,Meningeal Neoplasm
276,MNGT,Meningeal Tumor
277,MNGT,Meninges Neoplasm
278,MNGT,Meninges Tumor
279,MNGT,Neoplasm of Meninges
280,MNGT,Neoplasm of the Meninges
281,MNGT,Tumor of Meninges
282,MNGT,Tumor of the Meninges
283,IDCS,Interdigitating Cell Sarcoma/Tumor
284,IDCS,Interdigitating Dendritic Cell Sarcoma/Tumor
285,IDCS,Interdigitating Dendritic Cell Sarcoma
286,LUACC,Adenocystic Carcinoma of Lung
287,LUACC,Adenocystic Carcinoma of the Lung
288,LUACC,Adenoid Cystic Carcinoma of Lung
289,LUACC,Adenoid Cystic Carcinoma of the Lung
290,LUACC,Lung Adenocystic Carcinoma
291,LUACC,Lung Adenoid Cystic Carcinoma
292,LUACC,Pulmonary Adenocystic Carcinoma
293,LUACC,Pulmonary Adenoid Cystic Carcinoma
294,MMB,Medullomyoblastoma with Myogenic Differentiation
295,MMB,Medullomyoblastoma
296,BRAME,Adenomyoepithelioma of the Breast
297,BRAME,Breast Adenomyoepithelioma
298,RDD,Rosai-Dorfman Disease
299,RDD,Sinus Histiocytosis with Massive Lymphadenopathy
300,ANGL,Angiocentric Glioma (WHO Grade I)
301,ANGL,Angiocentric Glioma
302,ANGL,Angiocentric Neuroepithelial Tumor
303,ANGL,Monomorphus Angiocentric Glioma
304,SOFT_TISSUE,Soft Tissue
305,CEAIS,Adenocarcinoma in situ of Cervix Uteri
306,CEAIS,Adenocarcinoma in situ of Cervix
307,CEAIS,Adenocarcinoma in situ of the Cervix Uteri
308,CEAIS,Adenocarcinoma in situ of the Cervix
309,CEAIS,Adenocarcinoma in situ of the Uterine Cervix
310,CEAIS,Adenocarcinoma in situ of Uterine Cervix
311,CEAIS,Cervical Adenocarcinoma In Situ AJCC v7
312,CEAIS,Cervical Adenocarcinoma In Situ
313,CEAIS,Cervix Adenocarcinoma in situ
314,CEAIS,Cervix Uteri Adenocarcinoma in situ
315,CEAIS,Uterine Cervix Adenocarcinoma in situ
316,EHAE,Epithelioid Angioendothelioma
317,EHAE,Epithelioid Angiosarcoma
318,EHAE,Epithelioid Hemangioendothelioma
319,CESC,"Cervical Squamous Cell Carcinoma, NOS"
320,CESC,"Cervical Squamous Cell Carcinoma, Not Otherwise Specified"
321,CESC,Cervical Squamous Cell Carcinoma
322,CESC,Cervix Squamous Cell Carcinoma
323,CESC,Cervix Uteri Squamous Cell Carcinoma
324,CESC,Squamous Cell Carcinoma of Cervix Uteri
325,CESC,Squamous Cell Carcinoma of Cervix
326,CESC,Squamous Cell Carcinoma of the Cervix Uteri
327,CESC,Squamous Cell Carcinoma of the Cervix
328,CESC,Squamous Cell Carcinoma of the Uterine Cervix
329,CESC,Squamous Cell Carcinoma of Uterine Cervix
330,CESC,Uterine Cervix Squamous Cell Carcinoma
331,ASTR,Astrocytoma
332,VULVA,External Genitalia
333,VULVA,Vulva
334,NST,Neoplasm of Nerve Sheath
335,NST,Neoplasm of the Nerve Sheath
336,NST,Nerve Sheath Neoplasm
337,NST,Nerve Sheath Tumor
338,NST,Tumor of Nerve Sheath
339,LCIS,Lobular Breast Carcinoma In Situ
340,LCIS,Lobular Ca in situ of Breast
341,LCIS,Lobular Ca in situ of the Breast
342,LCIS,Lobular Carcinoma in situ of Breast
343,LCIS,Lobular Carcinoma In Situ of the Breast (LCIS)
344,LCIS,Lobular Carcinoma In Situ of the Breast
345,LCIS,Lobular Carcinoma in situ
346,LCIS,Non-Infiltrating Lobular Breast Carcinoma
347,LCIS,Non-Infiltrating Lobular Carcinoma of Breast
348,LCIS,Non-Infiltrating Lobular Carcinoma of the Breast
349,LCIS,Non-Infiltrating Lobular Carcinoma
350,LCIS,Non-Invasive Lobular Breast Carcinoma
351,LCIS,Non-Invasive Lobular Carcinoma of Breast
352,LCIS,Non-Invasive Lobular Carcinoma of the Breast
353,EMALT,Extranodal Marginal Zone B-Cell Lymphoma of Mucosa-Associated Lymphoid Tissue
354,EMALT,Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
355,EMALT,Immunocytoma
356,EMALT,MALT Lymphoma
357,EMALT,MALToma
358,EMALT,Mucosa-Associated Lymphoid Tissue Lymphoma
359,FLC,Fibrolamellar Carcinoma of Liver Cells
360,FLC,Fibrolamellar Carcinoma of the Liver Cells
361,FLC,Fibrolamellar Carcinoma
362,FLC,Fibrolamellar Hepatocellular Carcinoma
363,FLC,Hepatocellular Fibrolamellar Carcinoma
364,FLC,Liver Cell Fibrolamellar Carcinoma
365,FLC,Oncocytic Hepatocellular Tumor
366,FLC,Polygonal Cell Type Hepatocellular Carcinoma with Fibrous Stroma
367,TISSUE,Normal Tissue
368,TISSUE,Tissues
369,TISSUE,Tissue
370,NLPHL,Nodular Lymphocyte Predominant Hodgkin Lymphoma
371,NLPHL,Nodular Lymphocyte Predominant Hodgkin's Lymphoma
372,PPM,Papillary Meningioma
373,CEAD,Adenocarcinoma of Cervix Uteri
374,CEAD,Adenocarcinoma of Cervix
375,CEAD,Adenocarcinoma of the Cervix Uteri
376,CEAD,Adenocarcinoma of the Cervix
377,CEAD,Adenocarcinoma of the Uterine Cervix
378,CEAD,Adenocarcinoma of Uterine Cervix
379,CEAD,"Cervical Adenocarcinoma, NOS"
380,CEAD,"Cervical Adenocarcinoma, Not Otherwise Specified"
381,CEAD,Cervical Adenocarcinoma
382,CEAD,Cervix Adenocarcinoma
383,CEAD,Cervix Uteri Adenocarcinoma
384,CEAD,Uterine Cervix Adenocarcinoma
385,CHOS,Chondroblastic Osteogenic Sarcoma
386,CHOS,Chondroblastic Osteosarcoma
387,ATRT,AT/RT
388,ATRT,Atypical Teratoid/Rhabdoid Tumor (WHO Grade IV)
389,ATRT,Atypical Teratoid/Rhabdoid Tumor
390,ATRT,Central Nervous System Rhabdoid Neoplasm
391,ATRT,Central Nervous System Rhabdoid Tumor
392,ATRT,CNS Rhabdoid Neoplasm
393,ATRT,CNS Rhabdoid Tumor
394,ATRT,Malignant Brain Rhabdoid Neoplasm
395,ATRT,Malignant Brain Rhabdoid Tumor
396,ATRT,Malignant Rhabdoid Neoplasm of Brain
397,ATRT,Malignant Rhabdoid Neoplasm of the Brain
398,ATRT,Malignant Rhabdoid Tumor of Brain
399,ATRT,Malignant Rhabdoid Tumor of the Brain
400,ATRT,Primary Malignant Brain Rhabdoid Neoplasm
401,ATRT,Primary Malignant Brain Rhabdoid Tumor
402,ATRT,Primary Malignant Rhabdoid Neoplasm of Brain
403,ATRT,Primary Malignant Rhabdoid Neoplasm of the Brain
404,ATRT,Primary Malignant Rhabdoid Tumor of Brain
405,ATRT,Primary Malignant Rhabdoid Tumor of the Brain
406,ATRT,Rhabdoid Neoplasm of Central Nervous System
407,ATRT,Rhabdoid Neoplasm of CNS
408,ATRT,Rhabdoid Neoplasm of the Central Nervous System
409,ATRT,Rhabdoid Neoplasm of the CNS
410,ATRT,Rhabdoid Tumor of Central Nervous System
411,ATRT,Rhabdoid Tumor of CNS
412,ATRT,Rhabdoid Tumor of the Central Nervous System
413,ATRT,Rhabdoid Tumor of the CNS
414,MUCC,MEC
415,MUCC,Mucoepidermoid Carcinoma
416,PPTID,Pineal Parenchymal Tumor of Intermediate Differentiation
417,BLPT,Borderline Breast Phyllodes Neoplasm
418,BLPT,Borderline Breast Phyllodes Tumor
419,BLPT,Borderline Phyllodes Neoplasm of Breast
420,BLPT,Borderline Phyllodes Neoplasm of the Breast
421,BLPT,Borderline Phyllodes Tumor of Breast
422,BLPT,Borderline Phyllodes Tumor of the Breast
423,BLPT,Low Grade Malignant Breast Phyllodes Tumor
424,NFIB,Neurofibroma (WHO Grade I)
425,NFIB,Neurofibroma
426,BLCLC,Lung Basaloid Large Cell Carcinoma
427,BOWEL,Bowel
428,BOWEL,Intestines
429,BOWEL,Intestine
430,MCC,Cutaneous Apudoma
431,MCC,Cutaneous Neuroendocrine Carcinoma
432,MCC,Merkel Cell Carcinoma
433,MCC,Neuroendocrine Carcinoma of Skin
434,MCC,Neuroendocrine Carcinoma of the Skin
435,MCC,Neuroendocrine Skin Carcinoma
436,MCC,Trabecular Skin Carcinoma
437,MRLS,Myxoid Liposarcoma
438,MRLS,Myxoid/Round Cell Liposarcoma
439,BPSCC,Basaloid Carcinoma of Penis
440,BPSCC,Basaloid Carcinoma of the Penis
441,BPSCC,Basaloid Penile Squamous Cell Carcinoma
442,BPSCC,Basaloid Squamous Cell Carcinoma of Penis
443,BPSCC,Basaloid Squamous Cell Carcinoma of the Penis
444,BPSCC,"Squamous Cell Carcinoma of Penis, Basaloid Type"
445,BPSCC,"Squamous Cell Carcinoma of the Penis, Basaloid Type"
446,PANET,Islet Cell Tumor
447,PANET,Pancreatic NET
448,PANET,Pancreatic Neuroendocrine Tumor
449,PANET,Well Differentiated Pancreatic Endocrine Neoplasm
450,PANET,Well Differentiated Pancreatic Endocrine Tumor
451,FDCS,Follicular Dendritic Cell Sarcoma/Tumor
452,FDCS,Follicular Dendritic Cell Sarcoma
453,LUAD,Adenocarcinoma of Lung
454,LUAD,Adenocarcinoma of the Lung
455,LUAD,Lung Adenocarcinoma
456,ESMM,Esophageal Melanoma
457,ESMM,Esophagus Melanoma
458,ESMM,Melanoma of Esophagus
459,ESMM,Melanoma of the Esophagus
460,BLCA,Bladder Transitional Cell Carcinoma
461,BLCA,Bladder Urothelial Carcinoma
462,BLCA,Transitional Cell Carcinoma of the Urinary Bladder
463,BLCA,Urinary Bladder Transitional Cell Carcinoma
464,BLCA,Urinary Bladder Urothelial Carcinoma
465,BLCA,Urothelial Carcinoma of the Urinary Bladder
466,AITL,AILD
467,AITL,AILT
468,AITL,Angioimmunoblastic Lymphadenopathy Type T-Cell Lymphoma
469,AITL,Angioimmunoblastic Lymphadenopathy with Dysproteinemia
470,AITL,Angioimmunoblastic Lymphadenopathy
471,AITL,Angioimmunoblastic T-Cell Lymphoma
472,CPP,Choroid Plexus Papilloma
473,CPP,Papilloma of Choroid Plexus
474,CPP,Papilloma of the Choroid Plexus
475,MDS,Dysmyelopoietic Syndrome
476,MDS,Hematopoeitic - Myelodysplastic Syndrome (MDS)
477,MDS,Myelodysplasia
478,MDS,Myelodysplastic Neoplasm
479,MDS,Myelodysplastic Syndrome/Neoplasm
480,MDS,Myelodysplastic Syndrome
481,MDS,Oligoblastic Leukemia
482,MDS,Preleukemia
483,MDS,Smoldering Leukemia
484,CCOV,Ovarian Clear Cell Neoplasm
485,CCOV,Ovarian Clear Cell Tumor
486,PAOS,Juxtacortical Osteogenic Sarcoma
487,PAOS,Juxtacortical Osteosarcoma
488,PAOS,Parosteal Osteogenic Sarcoma
489,PAOS,Parosteal Osteosarcoma
490,PNET,Neuroectodermal Neoplasm
491,PNET,Neuroectodermal Tumor
492,PNET,Neuroepithelioma
493,PNET,Primitive Neuroectodermal Neoplasm
494,PNET,Primitive Neuroectodermal Tumor
495,PAAD,Adenocarcinoma of Pancreas
496,PAAD,Adenocarcinoma of the Pancreas
497,PAAD,Pancreas Adenocarcinoma
498,PAAD,Pancreatic Adenocarcinoma
499,PLEURA,Pleural Tissue
500,PLEURA,Pleura
501,CABC,Cervical Adenoid Basal Carcinoma
502,BRAIN,Central Nervous System
503,BRAIN,CNS
504,BRAIN,"Nervous System, CNS"
505,PRSCC,Oat Cell Carcinoma of Prostate
506,PRSCC,Oat Cell Carcinoma of the Prostate
507,PRSCC,Prostate Oat Cell Carcinoma
508,PRSCC,Prostate Small Cell Carcinoma
509,PRSCC,Prostate Small Cell NEC
510,PRSCC,Prostate Small Cell Neuroendocrine Carcinoma
511,PRSCC,Small Cell Carcinoma of Prostate
512,PRSCC,Small Cell Carcinoma of the Prostate
513,CCLC,"Clear Cell Carcinoma of Lung, Large Cell Type"
514,CCLC,"Clear Cell Carcinoma of the Lung, Large Cell Type"
515,CCLC,"Clear Cell Lung Carcinoma, Large Cell Type"
516,CCLC,"Large Cell Lung Carcinoma, Clear Cell Variant"
517,CCLC,"Lung Large Cell Carcinoma, Clear Cell Variant"
518,OMT,Mature Ovarian Teratoma
519,OMT,Mature Teratoma of Ovary
520,OMT,Mature Teratoma of the Ovary
521,SACA,Carcinoma of Salivary Gland
522,SACA,Carcinoma of the Salivary Gland
523,SACA,Salivary Gland Carcinoma
524,PEOS,Juxtacortical Chondroblastic Osteosarcoma
525,PEOS,Periosteal Osteosarcoma
526,GNBL,Ganglioneuroblastoma
527,MPNST,Malignant Neoplasm of Peripheral Nerve Sheath
528,MPNST,Malignant Neoplasm of the Peripheral Nerve Sheath
529,MPNST,Malignant Neurilemmoma
530,MPNST,Malignant Neurilemoma
531,MPNST,Malignant Peripheral Nerve Sheath Neoplasm
532,MPNST,Malignant Peripheral Nerve Sheath Tumor
533,MPNST,Malignant Peripheral Nerve Sheath Tumour
534,MPNST,Malignant Schwannoma
535,MPNST,Malignant Tumor of Peripheral Nerve Sheath
536,MPNST,Malignant Tumor of the Peripheral Nerve Sheath
537,MPNST,Neurofibrosarcoma
538,MPNST,Neurogenic Sarcoma
539,HGNEC,Colorectal NEC G3
540,HGNEC,Colorectal NEC
541,HGNEC,Colorectal Neuroendocrine Carcinoma
542,HGNEC,Large Intestinal Neuroendocrine Carcinoma
543,BREAST,Breasts
544,BREAST,Breast
545,THPA,Papillary Cancer of the Thyroid Gland
546,THPA,Papillary Cancer of the Thyroid
547,THPA,Papillary Cancer of Thyroid Gland
548,THPA,Papillary Cancer of Thyroid
549,THPA,Papillary Carcinoma of the Thyroid Gland
550,THPA,Papillary Carcinoma of the Thyroid
551,THPA,Papillary Carcinoma of Thyroid Gland
552,THPA,Papillary Carcinoma of Thyroid
553,THPA,Papillary Thyroid Cancer
554,THPA,Papillary Thyroid Carcinoma
555,THPA,Papillary Thyroid Gland Carcinoma
556,THPA,Thyroid Gland Papillary Carcinoma
557,THPA,Thyroid Papillary Carcinoma
558,THYMUS,"Reticuloendothelial System, Thymus"
559,THYMUS,Thymus Gland
560,THYMUS,Thymus
561,EPMT,Ependymal Neoplasm
562,EPMT,Ependymal Tumor
563,HGSOS,High Grade Surface Osteosarcoma
564,CHS,Chondrosarcoma
565,SPN,Frantz Tumor
566,SPN,Solid Pseudopapillary Neoplasm of the Pancreas
567,SPN,Solid Pseudopapillary Tumor of the Pancreas
568,VYST,Vaginal Endodermal Sinus Neoplasm
569,VYST,Vaginal Endodermal Sinus Tumor
